start_y,start_x,goal_y,goal_x
13,8,17,7
10,4,14,10
23,8,25,9
28,15,25,26
13,13,29,1
15,25,22,14
4,29,25,23
25,19,18,20
22,6,1,12
31,14,23,25
22,17,19,1
10,23,1,23
23,19,27,8
4,8,14,5
13,7,9,22
15,5,7,8
20,25,19,5
14,13,13,16
17,19,31,27
4,5,30,25
8,11,10,6
17,14,20,29
7,13,11,31
13,22,1,7
21,7,5,16
27,25,27,2
13,17,3,20
5,7,2,31
23,26,16,27
5,8,17,25
29,22,14,16
1,28,14,14
1,1,13,5
20,8,1,3
4,20,21,28
1,27,16,14
14,2,16,26
22,21,17,26
14,1,26,19
17,15,29,11
23,29,28,2
13,4,28,20
31,18,20,26
23,3,23,20
3,5,13,26
31,11,21,16
27,23,27,22
4,23,4,10
4,11,19,15
8,17,8,1
16,19,14,24
26,29,4,4
7,24,8,29
16,17,12,14
26,1,18,10
9,13,2,10
11,8,8,23
11,23,17,23
26,31,19,26
29,19,29,14
18,13,25,13
25,20,3,11
6,13,11,30
8,22,2,28
20,23,25,27
23,16,31,10
5,3,14,21
2,21,20,17
8,10,29,29
21,17,8,28
13,9,20,19
2,30,11,10
25,5,12,2
18,31,31,12
13,23,8,4
17,5,11,1
2,5,29,5
16,13,2,27
8,2,31,4
26,25,16,8
23,23,9,7
24,29,4,30
23,13,19,23
4,22,31,26
29,23,28,1
10,20,26,17
5,30,23,1
14,7,22,30
13,18,9,23
9,17,1,2
17,30,15,8
23,14,3,4
20,9,9,20
5,13,23,21
4,1,20,24
28,10,14,17
13,19,11,19
20,5,22,1
8,14,16,4
8,8,16,7
8,19,14,19
9,8,17,17
2,1,19,7
1,21,9,11
5,19,21,25
13,14,1,5
22,7,25,28
7,29,10,2
25,2,10,15
20,15,22,10
24,28,31,30
10,29,10,26
5,14,7,26
10,13,17,29
11,7,25,15
10,14,13,24
22,13,23,10
11,13,2,19
29,3,7,2
14,22,9,16
16,1,25,11
26,6,2,7
28,16,11,26
2,11,3,19
25,16,7,5
6,8,12,1
10,10,3,31
22,28,10,1
28,19,16,28
1,19,20,28
19,8,2,20
25,29,31,1
21,2,14,31
19,11,7,28
19,20,31,7
25,14,10,19
20,2,31,29
23,2,3,13
2,6,9,19
20,4,1,8
31,8,12,25
7,4,2,12
17,1,12,10
22,25,28,11
15,31,10,7
5,29,5,2
31,22,24,17
24,14,10,8
31,25,2,13
27,26,22,24
20,11,26,9
26,13,20,20
1,10,12,11
5,18,5,23
29,8,13,31
19,31,1,16
31,24,26,23
23,30,2,26
13,2,7,25
23,12,8,5
20,31,15,26
13,1,19,9
20,18,18,4
3,7,14,23
26,20,18,26
31,3,22,29
5,11,20,1
17,22,1,20
11,15,25,31
24,2,4,7
14,9,22,23
24,13,15,17
11,29,7,17
10,30,2,24
6,11,31,19
22,3,8,20
30,10,18,14
31,13,1,22
29,4,8,25
5,5,28,23
5,21,16,30
8,13,10,17
1,29,11,2
23,31,27,7
18,8,31,23
23,7,16,11
28,26,8,7
11,5,28,8
7,3,13,11
14,18,3,8
25,7,30,1
27,20,22,5
6,16,23,22
29,30,16,29
30,26,31,31
18,2,3,10
7,23,10,18
22,12,31,17
9,5,16,23
23,17,11,11
17,31,1,25
11,22,4,3
29,26,31,28
9,4,21,31
29,13,29,15
16,21,17,13
4,21,28,17
29,10,9,26
1,14,17,8
14,29,30,22
5,4,17,2
29,17,19,29
4,17,17,27
9,10,27,1
5,31,20,10
18,1,5,25
30,31,16,22
16,31,1,6
28,25,29,20
14,20,1,17
22,19,9,1
14,11,22,26
2,23,17,11
5,27,20,16
9,28,19,16
16,2,23,24
28,31,4,25
12,4,26,28
22,20,19,19
4,27,28,30
20,13,29,7
26,4,19,4
29,2,23,6
2,2,24,19
10,11,12,5
4,13,26,14
16,16,25,25
28,7,8,3
19,14,28,5
4,19,28,22
26,22,23,28
25,17,17,20
6,10,1,24
7,14,25,10
25,12,19,22
29,31,31,6
6,7,26,15
13,21,8,24
24,1,23,4
26,12,10,22
31,21,5,1
22,22,2,15
24,16,8,31
7,22,15,4
26,16,21,29
19,25,7,19
19,18,23,5
16,10,4,18
16,5,8,16
2,29,14,28
9,14,5,28
27,31,7,31
1,26,11,28
9,25,16,25
25,22,26,26
31,2,9,31
19,17,28,14
25,8,17,16
28,3,21,1
7,10,5,22
17,28,31,5
20,22,28,18
19,13,28,13
10,5,3,14
10,28,18,11
22,8,14,30
30,13,25,6
30,14,31,16
1,31,11,4
15,7,7,20
6,17,7,16
5,10,22,16
14,8,19,2
4,2,1,4
15,2,6,14
4,31,26,11
29,25,28,4
26,10,9,2
2,14,11,14
20,7,10,31
18,7,1,30
27,19,5,26
17,4,29,28
21,26,15,16
26,27,12,13
17,10,18,19
11,16,14,26
6,22,9,29
11,20,18,5
26,5,19,10
2,3,13,10
2,22,13,30
19,24,26,8
2,17,13,29
24,20,25,1
13,28,22,11
2,8,1,15
30,11,4,14
7,11,4,28
30,2,8,26
12,26,29,18
5,20,13,20
26,2,28,28
19,28,11,18
26,7,23,11
11,6,30,23
31,20,29,16
18,25,15,1
28,29,4,16
11,25,16,15
12,28,14,4
22,31,21,8
1,13,25,4
2,16,2,4
10,16,22,2
14,25,16,20
4,26,22,4
13,25,11,17
2,25,7,1
1,11,5,17
7,7,17,21
20,14,6,23
12,29,10,25
