start_y,start_x,goal_y,goal_x
27,24,3,26
21,21,10,31
15,1,7,17
18,22,6,17
15,29,23,23
15,13,21,15
15,31,30,10
5,21,29,22
10,21,2,31
27,16,1,24
29,14,23,18
11,16,15,10
22,27,13,26
21,14,30,31
22,7,26,17
18,1,2,5
21,7,26,1
7,13,20,11
31,21,26,18
9,31,24,18
17,7,25,17
31,28,9,13
17,21,21,18
15,22,10,10
1,30,18,28
19,13,22,17
20,17,20,31
2,19,29,7
30,21,19,3
2,11,11,17
22,12,1,19
18,27,29,23
29,5,31,16
3,4,10,15
21,23,13,9
4,26,25,5
11,23,23,19
30,13,9,9
27,2,6,13
24,9,9,5
11,30,12,23
14,19,31,29
6,15,25,31
31,27,0,3
5,0,1,15
21,19,13,22
6,18,30,19
21,17,19,10
28,18,30,25
3,15,0,23
26,11,0,15
23,27,1,31
29,21,29,31
31,30,28,10
30,2,31,26
27,4,19,19
15,6,21,0
30,30,2,14
12,14,2,15
11,13,6,6
7,5,14,29
27,23,2,21
7,11,0,26
23,3,23,26
17,1,10,11
27,9,5,29
15,26,13,23
1,10,26,25
31,15,17,2
27,29,5,1
16,5,9,11
22,15,2,3
29,11,20,1
26,10,29,19
2,20,5,13
15,9,5,27
11,11,22,1
6,19,27,5
17,17,28,6
17,18,14,5
9,0,2,18
7,21,25,25
14,17,19,30
30,22,8,6
19,27,30,24
21,10,23,30
27,11,6,8
15,24,19,7
17,14,22,22
15,15,31,7
7,30,29,10
14,21,10,9
29,15,2,26
9,29,7,19
3,19,27,14
10,22,18,26
27,13,14,25
19,5,5,9
16,22,26,29
28,2,9,19
25,3,6,2
1,14,5,11
17,30,25,9
22,21,13,14
17,27,29,29
11,26,31,14
30,26,9,12
9,3,4,5
13,5,21,13
22,16,9,22
3,0,31,20
3,3,30,11
21,31,25,22
31,18,14,15
11,3,1,27
10,17,29,17
26,3,22,3
2,10,11,19
6,5,23,21
13,6,14,8
8,9,5,10
1,17,7,26
7,23,16,31
22,9,3,22
13,3,15,19
15,14,27,12
20,7,9,27
11,22,23,7
22,31,23,17
6,11,26,14
2,6,10,6
13,1,3,5
11,15,21,1
5,23,6,9
15,27,2,16
10,13,17,13
10,30,31,9
3,1,18,13
6,1,15,11
11,6,27,28
19,23,4,19
17,24,6,3
1,3,19,22
19,15,26,23
9,6,5,30
3,23,23,11
12,3,28,31
31,19,23,9
6,23,14,14
18,17,6,14
9,15,23,6
7,2,5,18
7,29,2,17
25,19,17,19
18,30,25,23
2,13,1,29
16,9,11,9
13,27,22,14
6,16,11,27
27,1,2,1
25,27,21,25
6,7,23,28
9,23,18,14
18,2,18,31
19,9,17,0
13,17,22,5
18,21,27,7
7,9,4,22
24,31,10,1
21,29,10,27
30,9,20,13
12,5,29,25
25,29,22,6
30,18,13,19
12,11,11,29
22,2,17,15
18,5,27,15
11,18,30,29
22,13,3,17
25,10,29,30
9,10,3,28
29,13,4,10
30,14,7,25
13,30,0,29
11,1,18,8
26,9,3,27
1,11,6,30
4,30,23,22
13,13,23,5
25,2,25,15
31,1,18,11
19,1,14,4
14,13,20,21
14,23,13,10
2,23,11,24
27,25,22,19
18,6,31,8
13,11,19,21
18,18,1,18
2,25,27,18
5,14,14,6
27,6,7,31
6,27,10,25
22,26,26,31
27,21,22,23
7,6,31,3
30,3,0,9
25,30,1,9
19,2,29,0
26,5,8,18
14,18,13,18
21,5,30,23
2,27,2,7
9,26,13,31
25,7,26,30
30,1,21,3
23,10,18,19
15,7,31,12
27,19,30,7
14,11,10,7
1,26,8,21
21,11,26,2
3,2,25,0
11,7,26,27
9,25,9,1
3,18,16,14
26,19,19,31
17,31,5,19
9,2,5,25
27,26,22,30
15,23,19,25
15,5,5,22
25,8,13,0
13,15,31,22
0,17,11,21
18,3,18,23
30,4,7,7
19,17,1,5
27,30,27,31
25,13,21,22
26,26,7,10
9,17,13,29
18,25,3,7
26,21,6,4
30,17,1,13
23,29,5,15
10,19,18,15
5,17,31,5
1,21,29,18
3,10,21,2
3,9,9,21
14,9,1,2
22,20,2,30
5,5,29,26
21,26,1,7
19,29,25,26
29,6,6,10
7,3,25,21
3,25,30,15
27,3,21,9
17,6,18,16
3,31,10,18
27,22,2,22
25,11,28,14
22,18,21,6
25,14,7,1
24,25,3,14
23,2,5,6
25,6,10,5
5,26,25,18
16,27,15,21
9,30,15,25
29,2,19,11
17,3,19,14
18,29,29,9
6,25,17,25
1,1,27,20
17,9,18,9
26,7,5,2
3,13,10,3
8,13,21,30
31,2,15,3
6,31,9,20
14,30,14,10
22,25,6,22
11,31,13,2
26,6,31,10
31,17,23,31
7,22,31,31
22,10,13,21
15,17,14,22
10,14,18,12
29,1,6,29
19,6,31,11
14,2,6,26
14,31,15,2
21,27,3,6
14,7,27,10
31,6,3,11
19,18,31,23
27,17,1,25
10,29,18,10
23,1,11,25
16,2,20,26
11,10,7,18
17,26,23,13
14,27,11,2
18,7,8,30
30,5,14,26
26,22,8,1
28,23,14,3
7,27,9,18
17,23,17,22
26,15,23,8
31,25,22,11
10,28,1,22
29,27,11,4
11,14,27,27
17,29,13,7
5,12,16,18
24,3,9,7
12,27,2,29
9,14,10,23
5,3,6,21
7,14,30,27
1,6,31,13
23,14,23,15
26,13,15,18
11,5,15,30
22,29,0,6
30,6,23,25
3,29,14,1
1,23,7,15
2,2,5,7
23,24,25,1
17,11,3,30
17,5,2,9
5,31,10,2
10,26,29,3
3,21,17,10
13,25,19,26
