start_x,start_y,goal_x,goal_y
29,27,1,6
9,1,2,30
1,24,11,15
30,23,29,0
28,7,21,3
8,13,11,19
11,8,4,2
18,4,31,31
3,8,5,21
22,25,10,11
4,8,5,22
1,3,12,13
12,19,3,1
21,31,7,31
6,22,26,18
25,31,2,3
14,26,8,2
29,13,27,22
20,14,16,10
3,4,9,0
25,30,7,14
0,20,8,0
20,0,31,14
28,8,7,12
3,22,22,4
30,7,11,0
24,27,22,27
14,30,3,11
2,29,24,14
3,29,13,1
6,24,12,31
15,14,12,8
6,15,30,24
2,18,27,29
28,10,21,25
16,22,0,5
30,21,21,6
7,15,21,8
26,1,17,23
17,8,4,5
15,10,7,9
19,4,13,11
14,29,17,6
24,11,13,6
23,4,20,4
31,1,8,23
17,2,18,2
5,6,12,15
24,7,10,23
3,18,0,26
25,0,31,13
21,14,4,20
8,19,9,11
25,8,18,25
20,10,7,20
4,3,10,13
5,19,30,15
9,9,17,5
2,15,30,4
16,24,17,20
22,16,27,15
14,19,27,2
17,11,22,1
20,19,20,28
10,5,22,17
12,16,16,23
30,25,25,22
9,27,9,18
9,31,10,7
1,22,2,11
27,17,27,1
25,10,5,11
0,12,6,11
12,28,24,26
21,15,17,10
14,12,10,1
29,26,25,11
23,30,0,9
5,1,3,5
4,16,21,5
0,16,27,16
22,3,9,15
21,28,28,6
20,12,16,14
7,24,15,27
19,2,15,13
18,15,12,4
0,2,16,18
22,14,18,6
5,9,7,17
26,26,27,12
0,0,24,5
18,26,18,16
8,4,3,17
6,18,15,24
23,18,0,19
25,18,31,30
15,20,31,16
20,5,13,5
28,13,22,28
29,29,17,28
1,27,10,20
21,30,19,19
12,9,10,31
7,4,17,21
21,11,6,17
24,9,26,9
21,23,28,28
3,25,30,12
12,5,23,28
3,6,28,14
9,3,17,25
31,15,31,11
15,2,31,19
21,20,18,28
6,25,11,1
3,16,19,11
7,8,4,6
4,13,19,13
23,7,13,0
17,18,3,9
7,18,30,31
7,7,8,28
17,7,25,27
26,29,7,27
16,4,5,0
27,13,14,24
10,21,23,9
8,10,19,25
2,19,25,24
27,19,8,24
28,5,9,2
2,2,18,22
24,19,13,30
12,1,21,18
29,10,19,24
21,10,0,3
26,28,22,6
21,4,26,0
28,11,14,31
14,23,10,14
8,3,17,3
16,29,6,13
8,21,14,20
2,25,31,27
1,29,26,31
4,21,14,27
31,20,0,11
12,6,29,6
24,6,22,2
31,8,12,0
26,15,9,13
14,15,10,22
25,26,19,5
17,22,20,7
27,31,25,6
2,14,6,4
6,2,19,7
6,28,25,28
3,21,26,14
22,13,16,11
29,5,17,13
26,25,29,11
11,23,4,19
6,31,9,19
9,8,22,15
14,17,30,6
7,28,24,13
4,4,13,13
4,31,8,1
20,31,9,7
7,5,19,14
0,22,1,8
29,24,25,5
1,10,19,21
23,8,30,14
16,13,19,20
7,0,26,4
16,9,1,2
8,25,30,19
0,4,5,5
8,6,31,4
15,25,11,9
30,2,7,19
4,30,1,11
25,29,6,20
8,29,24,30
26,27,11,12
19,23,10,24
12,18,11,4
3,15,25,2
28,29,7,2
18,5,21,29
30,26,16,3
27,7,25,21
12,17,14,0
4,25,28,15
13,4,12,14
15,21,8,22
5,24,28,3
4,15,25,23
24,3,24,22
13,20,1,18
22,24,18,12
18,10,27,24
10,16,18,24
8,30,28,4
1,23,17,30
30,0,20,22
20,2,12,2
0,13,2,17
20,20,24,12
16,30,11,10
20,30,28,0
12,24,17,14
15,22,21,12
30,30,13,26
13,31,22,8
3,23,21,19
16,31,25,14
7,13,26,30
15,3,26,22
13,28,14,28
22,26,5,10
5,30,14,14
11,27,14,18
16,16,23,11
7,29,16,20
5,31,29,15
15,26,4,26
30,9,24,31
24,24,28,22
6,14,9,12
9,10,3,12
20,1,14,9
11,25,10,28
23,31,8,5
6,29,20,29
21,27,0,24
27,18,25,9
28,16,24,20
29,21,29,23
3,10,18,27
20,3,13,22
24,28,21,16
12,21,13,10
5,18,22,0
28,12,12,27
3,31,26,20
13,16,14,6
16,6,19,16
11,11,29,12
26,3,28,30
7,16,14,16
12,3,2,21
13,21,1,0
10,30,13,27
31,9,24,15
6,23,19,31
13,24,29,4
0,8,15,6
22,9,2,23
10,27,0,15
26,16,5,20
0,23,23,5
19,12,7,6
16,12,2,5
25,19,0,6
15,30,18,1
28,26,23,1
29,31,24,0
20,18,2,13
23,6,11,6
31,23,27,11
19,15,0,21
25,13,15,18
13,25,7,11
28,17,5,25
20,24,8,8
24,21,11,16
15,19,11,21
27,10,1,5
24,18,10,25
8,14,26,5
17,12,0,7
0,25,15,23
15,0,16,21
24,10,26,6
6,3,14,7
4,29,6,7
13,3,2,8
26,2,7,26
9,29,27,25
20,25,28,1
29,25,4,10
6,12,5,23
24,25,10,4
22,22,23,27
27,27,11,29
11,2,16,15
6,27,26,11
4,17,17,31
15,9,2,28
17,17,21,9
4,23,29,19
2,24,9,14
29,22,13,9
29,16,1,25
29,8,16,2
15,11,30,3
30,27,20,8
7,25,20,9
16,5,27,8
17,27,19,10
4,11,1,16
5,28,16,7
27,0,14,21
9,28,9,16
4,7,12,7
12,23,4,27
8,18,11,26
27,26,16,0
9,23,22,12
18,20,0,27
2,31,8,20
23,3,23,22
5,26,25,7
22,31,13,2
2,7,3,24
5,17,29,30
18,9,2,6
14,25,5,2
11,14,28,27
5,8,9,26
18,18,17,26
29,14,25,12
26,17,19,27
14,8,9,22
17,19,12,29
4,24,8,9
14,1,31,22
6,9,11,13
5,13,31,10
21,13,3,2
18,0,3,3
1,1,8,7
30,10,3,19
15,7,11,22
7,10,20,27
14,13,5,16
5,4,13,29
23,15,31,0
31,24,31,21
16,28,17,16
13,18,29,9
12,25,3,26
18,8,13,8
31,3,6,21
17,1,20,6
21,22,1,15
9,20,19,3
10,3,30,8
30,1,0,14
31,7,11,24
20,23,19,30
16,27,5,12
27,3,31,12
8,16,4,0
23,10,10,10
21,17,6,0
30,20,2,1
3,27,16,26
24,29,15,1
28,20,18,14
23,19,27,14
4,12,10,15
18,7,25,15
23,26,5,15
9,25,22,30
1,28,21,2
12,26,6,10
4,18,13,7
28,18,29,1
27,20,1,9
10,2,11,17
9,4,14,3
1,12,20,21
24,1,19,17
10,8,11,3
9,24,19,26
25,3,27,28
16,1,2,0
15,8,1,21
18,29,29,2
23,13,14,11
25,4,14,22
16,17,23,25
8,11,11,20
11,31,23,12
11,7,3,13
1,19,22,29
2,20,6,26
8,31,2,26
1,14,19,0
31,2,28,19
25,17,28,23
11,18,23,23
3,7,3,0
0,17,10,9
