start_y,start_x,goal_y,goal_x
30,22,4,26
15,16,10,2
27,31,22,30
28,26,24,20
8,7,8,28
10,4,14,10
7,10,17,19
30,25,22,29
21,31,9,23
14,21,29,17
1,11,6,17
29,26,28,4
17,5,11,1
4,3,13,10
7,16,16,28
20,7,26,20
20,24,9,7
29,18,12,14
29,4,13,16
24,19,19,18
9,31,3,13
26,17,11,30
9,8,7,24
31,29,28,31
22,8,12,29
16,14,5,19
20,4,27,8
14,11,22,25
22,16,14,19
5,5,28,29
5,14,16,23
10,31,8,4
22,14,6,8
31,28,2,1
10,23,9,19
11,8,10,22
18,31,20,23
4,1,8,8
31,26,17,16
31,16,22,11
23,11,7,1
9,5,4,19
13,23,3,11
20,17,6,7
26,6,23,1
7,23,10,26
28,19,2,20
14,2,17,26
5,30,2,7
19,16,19,1
9,10,27,1
4,5,30,26
17,22,29,11
5,31,8,3
10,10,28,8
23,25,14,31
20,20,10,17
6,11,25,25
2,6,1,24
25,7,19,23
16,13,28,5
4,11,18,13
9,28,9,26
29,20,19,29
13,5,16,7
18,20,8,23
8,29,1,17
1,10,12,11
23,14,11,20
2,8,1,15
11,15,8,1
22,6,1,12
31,12,3,4
20,9,2,24
3,7,11,31
14,7,27,22
3,5,10,30
23,16,7,5
16,21,31,25
16,22,23,26
17,21,4,30
25,9,28,17
5,28,19,10
5,11,20,1
8,22,28,20
23,24,6,16
24,2,4,7
19,26,18,5
15,31,31,5
27,23,31,6
13,1,19,9
2,21,20,22
2,28,8,24
17,17,31,20
20,5,16,26
17,4,25,23
21,2,22,24
22,19,2,26
13,22,1,7
26,11,19,15
23,31,26,15
8,13,9,20
4,20,29,19
11,6,29,28
12,26,7,29
4,8,14,5
2,16,2,4
5,27,11,4
16,19,23,28
23,30,4,4
8,17,8,5
3,14,22,4
2,31,26,19
16,10,24,14
20,25,26,28
4,14,26,31
25,6,20,10
21,7,11,19
11,13,9,17
27,7,7,22
1,29,11,26
27,20,29,16
15,7,14,14
13,26,30,11
28,25,13,4
19,20,11,11
23,7,16,11
4,17,20,26
29,23,10,1
26,13,13,28
1,30,30,10
31,2,8,26
2,14,23,12
3,20,21,26
31,17,1,16
18,8,31,30
21,25,7,25
22,3,25,10
2,30,30,1
29,2,23,6
29,30,28,30
9,14,1,5
2,3,22,20
14,23,4,22
20,8,5,3
17,23,2,22
7,20,29,7
7,11,29,8
25,13,6,22
26,12,4,2
24,1,23,4
14,9,19,24
11,28,28,28
4,13,2,2
16,20,4,10
14,28,9,25
25,2,2,23
22,22,9,1
20,15,8,25
12,25,14,4
28,23,2,29
29,25,26,29
20,29,17,25
26,23,25,4
9,16,25,29
6,13,14,26
31,13,10,25
29,3,7,2
18,1,26,4
5,16,20,14
1,22,13,18
20,11,28,11
20,2,31,23
19,4,1,8
11,16,28,7
30,13,28,15
22,23,21,16
24,13,17,20
19,5,22,1
7,4,2,12
5,13,18,4
4,16,13,13
17,27,10,7
19,19,31,7
27,25,14,29
23,8,28,10
2,27,13,17
2,17,11,29
25,26,12,13
23,2,26,5
5,22,26,14
7,8,16,5
9,4,31,18
13,7,28,16
6,23,1,25
18,14,25,8
19,31,1,19
31,27,2,13
25,28,19,25
13,30,15,1
6,10,1,26
10,5,25,5
13,9,21,17
13,20,18,11
14,22,10,15
31,3,29,22
20,31,23,10
8,31,16,17
17,1,12,10
8,10,21,29
12,4,24,29
27,19,3,8
19,8,10,16
13,8,17,7
14,1,23,21
31,19,21,8
11,14,4,21
2,25,17,11
17,13,24,16
31,21,16,29
25,14,7,26
16,25,14,13
15,5,31,11
31,10,9,2
13,19,29,14
5,7,29,13
16,2,13,29
21,28,10,19
24,17,11,23
14,18,14,30
25,15,8,20
19,11,15,17
31,8,9,29
5,10,20,16
16,15,3,31
5,18,10,8
18,7,26,7
15,26,2,15
15,2,5,29
1,13,4,27
23,22,22,10
10,14,19,28
11,18,7,31
1,2,1,4
18,2,3,10
10,18,5,23
17,14,1,3
30,23,23,29
8,11,10,6
16,4,26,16
16,16,11,17
13,21,17,28
4,28,11,10
23,3,23,23
1,14,17,8
6,14,12,2
5,4,17,2
2,11,2,19
8,2,31,4
5,25,28,14
8,14,15,4
4,31,1,27
5,17,29,31
8,19,9,11
22,12,10,28
25,31,31,24
12,28,16,27
23,20,22,5
25,12,22,2
31,14,28,22
28,18,26,27
26,8,11,2
23,17,25,17
29,10,14,25
5,1,19,7
13,24,25,1
17,31,3,19
25,11,20,28
22,21,13,31
5,2,14,24
25,20,1,20
17,10,4,23
17,15,7,7
1,1,18,26
31,31,18,19
26,10,25,19
19,22,30,14
14,20,7,28
31,22,31,1
26,1,18,10
2,5,29,5
11,25,10,20
29,29,14,17
23,13,15,25
30,2,14,16
10,11,12,5
4,18,20,19
1,31,1,23
19,14,22,17
10,13,17,29
29,15,26,9
11,22,26,26
26,2,25,22
4,25,26,22
22,28,28,2
25,16,25,27
18,25,1,28
22,26,22,13
7,14,23,19
11,5,7,13
28,3,21,1
16,31,1,6
7,3,13,11
27,26,27,2
17,30,15,8
20,13,20,18
30,31,28,1
26,25,16,8
16,1,7,17
5,8,12,1
11,7,28,13
5,21,22,31
19,13,13,14
5,26,8,16
9,13,29,1
10,29,1,21
13,2,9,22
7,19,2,10
19,17,23,5
22,7,24,28
4,29,13,25
5,20,16,30
14,8,19,2
