start_x,start_y,goal_x,goal_y
18,26,29,5
10,27,0,23
29,30,3,21
9,6,11,17
18,29,3,18
6,3,2,9
8,30,11,30
2,30,24,9
17,14,20,1
3,0,31,22
19,5,27,10
23,27,6,4
1,24,6,7
16,9,30,15
18,21,22,14
27,15,15,19
10,11,23,21
8,1,30,2
31,20,0,29
9,22,21,10
17,27,27,18
15,5,15,21
29,15,18,18
15,27,7,14
11,15,2,18
31,13,23,7
10,17,21,11
19,19,31,19
19,1,6,26
30,10,29,3
11,25,5,12
17,22,9,19
13,22,15,17
6,9,28,10
30,26,5,26
25,0,23,31
26,19,11,22
5,14,18,22
26,3,29,31
7,21,30,13
22,30,9,9
5,17,14,19
19,31,14,13
1,23,7,23
11,2,29,18
27,29,31,16
5,29,4,10
13,10,27,24
24,3,13,7
25,30,14,10
3,13,30,21
7,1,3,11
7,22,13,2
14,7,29,22
10,5,23,6
21,23,3,19
6,21,31,25
19,25,11,23
26,6,19,17
22,16,26,14
13,9,20,26
26,17,7,18
10,15,15,29
5,15,19,10
5,18,15,3
15,23,20,17
25,8,5,2
17,15,3,25
5,0,5,13
11,16,29,1
15,2,30,14
18,23,26,30
11,6,10,10
22,12,23,14
27,25,31,9
25,23,19,9
13,6,3,29
14,18,13,17
25,5,7,31
6,10,23,2
1,22,7,10
26,5,21,6
3,2,4,30
18,30,6,27
14,11,1,15
7,29,1,3
13,31,29,0
2,27,9,14
25,1,21,30
1,29,19,22
1,11,27,28
22,29,31,26
10,9,27,14
2,22,21,22
24,31,5,30
17,25,2,3
14,3,3,31
7,13,7,7
2,26,19,30
13,30,1,7
9,7,29,29
26,11,1,13
26,26,12,11
11,1,18,31
16,14,0,17
17,10,29,21
3,4,30,25
11,18,4,22
25,14,26,21
9,3,19,26
7,5,29,11
7,15,17,31
10,25,30,6
6,23,29,2
7,2,8,6
29,25,25,19
12,27,29,26
26,27,30,31
11,14,2,14
5,11,5,3
27,2,25,9
14,5,18,10
0,3,27,7
8,9,22,1
16,22,31,8
18,3,3,15
27,16,5,25
15,7,2,19
1,21,22,23
3,23,11,21
30,9,14,30
17,18,18,25
3,22,5,10
31,23,31,5
6,6,27,11
21,5,26,9
30,3,18,8
1,18,25,10
10,30,22,6
18,15,5,31
9,29,17,30
13,3,23,18
15,11,30,5
1,14,13,23
13,27,2,21
26,1,19,3
30,22,10,7
29,23,17,1
10,2,6,22
10,26,15,26
18,27,30,24
13,11,26,7
11,7,28,14
22,27,19,18
11,26,25,22
9,2,2,29
27,20,0,6
11,9,12,5
19,29,9,13
13,1,3,26
4,26,10,3
5,21,31,30
25,6,17,13
13,13,17,24
14,9,18,17
15,31,5,27
22,13,14,4
18,6,19,14
18,1,26,10
30,29,25,31
7,26,29,13
3,5,17,2
15,14,9,31
10,18,9,18
6,15,19,15
24,25,13,15
22,25,10,28
6,25,23,3
15,10,9,25
18,14,27,9
22,20,22,18
2,23,23,19
17,29,14,26
9,0,23,8
31,6,5,5
15,6,1,1
26,18,14,8
7,6,3,7
9,21,14,21
31,31,9,27
27,23,23,11
17,19,19,11
26,13,30,18
1,27,27,21
1,10,17,6
2,6,2,20
15,22,2,15
12,3,23,24
13,21,11,3
3,17,13,5
4,19,11,24
22,26,21,29
31,10,13,29
11,27,23,28
19,7,15,30
26,29,22,15
10,6,21,14
19,13,8,13
6,18,1,19
14,15,18,5
21,15,14,1
5,23,22,21
9,20,18,12
3,28,31,15
3,3,21,9
29,7,30,17
2,17,17,21
18,9,27,26
22,19,29,19
3,14,14,22
6,11,15,13
18,19,15,25
17,26,27,13
21,18,21,25
27,4,23,1
18,16,9,23
14,31,16,2
13,14,14,25
13,26,21,17
22,11,3,6
14,14,1,5
15,15,20,11
16,5,8,18
22,10,2,16
9,11,31,1
29,6,6,30
25,7,25,18
6,31,23,15
10,21,15,18
29,14,1,2
5,19,23,30
26,22,9,12
22,22,18,13
21,26,11,11
26,2,2,13
27,19,6,8
21,27,26,31
9,26,17,7
13,19,11,29
11,5,3,30
2,7,15,9
7,9,21,7
27,17,17,3
31,2,30,11
27,3,30,7
11,13,7,30
2,1,31,14
21,0,22,7
14,17,11,31
23,22,7,27
23,23,4,5
11,10,13,0
23,13,7,25
20,7,16,18
15,24,21,31
1,9,3,27
16,27,10,22
0,15,31,18
10,23,5,22
24,18,27,27
10,29,11,4
22,17,27,30
21,3,29,27
26,23,15,1
13,18,5,7
22,3,6,14
25,29,18,2
19,6,23,5
9,15,20,31
25,17,27,5
22,31,1,30
14,6,3,1
25,27,12,14
30,23,2,25
7,11,5,1
18,11,25,21
6,29,31,12
23,9,25,3
27,31,10,19
10,14,31,28
21,21,10,31
29,10,6,17
1,31,21,19
31,17,6,5
21,13,21,2
3,9,1,6
17,23,7,17
28,2,2,11
31,7,14,27
1,26,25,25
25,26,17,5
16,31,22,9
25,2,23,25
6,13,6,19
9,5,25,13
11,19,6,2
23,10,17,17
7,19,23,29
25,11,2,5
29,9,30,4
26,25,31,21
5,6,20,21
21,1,14,2
19,21,6,16
23,26,8,21
9,1,27,1
31,3,9,30
27,6,12,23
0,26,1,17
26,15,29,17
1,25,17,9
9,17,2,10
0,9,28,31
22,5,27,22
10,13,10,1
14,23,22,2
31,11,30,19
17,0,2,2
31,29,13,25
28,18,27,12
5,9,18,28
23,17,20,13
28,23,6,1
28,6,17,11
31,27,19,27
30,27,19,23
19,2,3,10
2,31,18,7
25,15,30,30
9,10,30,1
7,3,14,29
