start_x,start_y,goal_x,goal_y
14,30,7,13
7,16,14,19
28,18,14,29
10,26,13,11
27,31,8,22
5,7,16,21
23,2,17,25
5,14,11,31
16,25,15,16
2,5,19,2
11,30,8,5
7,7,24,2
5,25,10,17
31,19,17,13
25,10,31,10
2,24,19,4
29,25,14,23
27,20,30,22
23,24,29,20
2,20,1,2
30,10,18,13
14,21,29,22
20,14,4,11
23,4,23,11
13,22,16,19
4,16,21,28
31,16,9,2
11,6,25,7
12,14,5,22
11,15,22,30
12,4,9,23
2,19,22,1
19,19,1,26
8,23,14,14
9,29,8,1
16,30,26,23
4,7,17,5
26,12,30,1
14,4,22,11
28,23,15,7
15,8,1,30
22,31,29,30
10,5,2,10
11,7,28,26
2,26,31,17
22,10,31,5
1,1,15,5
19,31,5,13
17,31,18,4
5,11,31,27
14,9,23,30
28,17,28,11
3,10,17,10
19,18,9,22
20,29,26,4
5,8,2,29
31,6,29,14
2,3,18,7
17,28,17,22
22,23,1,10
21,7,20,2
20,16,1,24
14,7,10,6
20,8,13,20
20,28,13,10
20,7,23,28
28,8,25,14
26,6,8,26
28,4,25,1
6,23,4,3
25,20,2,17
5,28,2,21
17,2,22,17
13,25,29,18
4,18,20,25
1,16,20,13
29,10,29,15
26,25,21,16
26,28,12,28
1,13,20,10
24,28,16,29
29,23,29,16
17,30,26,15
19,17,17,19
20,26,21,1
13,16,7,19
20,4,5,18
13,9,21,31
21,2,31,18
16,15,6,16
17,14,4,27
26,31,4,19
19,11,1,19
25,6,28,3
31,30,18,1
16,16,1,7
22,26,8,4
22,21,16,17
2,2,20,24
14,18,8,7
16,28,9,28
24,20,28,19
10,28,30,13
14,2,17,21
29,7,29,8
11,25,25,8
6,11,2,14
22,24,2,6
22,4,12,26
1,8,8,28
18,2,8,24
11,28,28,13
6,8,28,25
16,11,17,11
7,17,26,8
13,7,28,1
4,20,25,16
7,31,23,23
19,20,31,23
6,13,11,20
18,26,22,28
2,7,6,10
3,20,20,17
25,11,22,14
4,29,28,20
13,23,13,5
22,6,16,31
31,11,22,19
4,23,31,12
2,15,5,2
29,2,12,10
28,5,7,2
15,2,23,26
29,13,20,20
29,5,18,10
22,29,23,3
27,2,26,16
31,28,1,5
1,25,27,19
23,21,29,11
9,19,18,14
5,3,22,22
14,16,31,7
19,29,15,31
21,29,15,1
7,10,2,4
25,17,23,10
5,20,2,27
9,5,30,25
25,4,23,16
23,5,8,29
22,8,20,9
11,17,7,14
10,14,16,20
12,11,18,8
5,26,26,27
18,20,8,31
15,17,10,7
30,2,7,24
4,5,26,11
22,2,25,23
16,10,4,8
24,14,19,9
20,31,27,25
20,19,16,22
1,15,28,7
9,4,16,14
28,15,10,15
5,17,28,22
16,27,10,31
11,5,3,14
5,31,10,13
14,8,25,15
19,22,17,4
5,19,30,23
4,1,17,23
4,21,17,8
4,13,1,22
27,26,11,23
19,5,9,14
14,1,22,25
3,8,10,25
21,8,14,24
21,25,25,27
8,17,3,4
7,20,31,14
9,17,28,10
5,27,14,13
26,10,4,10
21,26,17,29
13,28,28,14
9,16,25,26
2,22,8,25
10,22,24,13
17,1,29,31
18,11,9,11
2,13,8,8
13,4,31,13
13,19,30,14
20,22,31,22
24,19,7,23
8,14,20,23
22,5,1,3
14,31,19,1
11,8,20,18
29,28,16,26
23,1,1,31
1,27,2,8
3,5,19,23
22,20,10,11
4,28,7,25
7,8,1,6
31,4,14,22
27,8,23,17
14,25,5,10
31,1,17,7
27,22,4,26
1,29,11,4
4,30,25,9
17,17,16,1
9,31,26,19
4,31,28,28
13,1,5,29
28,30,17,26
14,11,27,1
31,20,25,25
25,22,11,10
2,23,25,31
11,26,19,28
2,1,5,30
6,17,14,20
6,7,12,1
16,5,23,7
29,19,3,7
22,12,16,23
2,16,2,11
9,10,19,26
7,26,10,2
16,8,14,5
31,3,10,18
31,26,31,25
10,4,19,7
19,15,16,2
10,10,10,16
13,18,23,12
5,21,12,13
5,23,10,29
1,11,13,31
26,17,1,12
11,11,11,14
9,26,1,21
11,29,17,16
13,13,29,17
7,28,11,13
5,5,26,7
29,3,3,11
15,4,23,20
8,16,14,26
9,20,13,29
1,14,24,1
8,2,31,8
5,16,12,5
17,27,31,31
28,16,14,17
13,30,24,29
6,22,1,20
26,1,1,17
23,6,6,14
23,25,9,13
4,2,1,4
16,13,15,25
21,17,4,17
19,14,11,19
28,29,19,10
3,13,25,19
31,21,9,7
2,25,30,11
8,20,17,20
15,26,11,16
26,22,29,4
28,31,12,2
11,22,4,14
26,2,19,13
7,11,3,31
7,3,19,8
24,16,29,1
12,29,23,14
13,2,7,22
25,5,5,1
7,4,8,10
30,31,8,3
22,7,20,15
10,19,13,24
29,26,27,23
13,8,26,26
13,17,31,29
25,12,16,4
29,29,16,7
19,24,9,1
26,29,7,5
1,23,7,1
14,10,7,29
26,9,4,22
23,29,9,8
10,8,11,1
26,14,28,2
2,28,19,25
17,15,8,11
18,31,30,26
3,19,23,19
25,13,13,21
2,31,19,16
14,28,25,29
1,28,11,2
18,19,23,8
20,11,4,25
25,2,13,26
2,12,11,18
26,5,27,7
23,22,22,3
22,16,10,1
23,31,20,1
18,5,20,5
23,13,8,19
13,14,2,30
26,13,26,20
5,4,31,2
31,24,18,25
10,23,10,20
10,30,22,13
9,25,25,28
24,17,4,4
8,13,12,25
