start_x,start_y,goal_x,goal_y
13,27,26,26
10,30,9,12
22,30,6,31
5,30,10,26
27,14,19,5
31,19,2,23
16,22,27,4
31,10,29,22
9,9,26,10
29,2,18,10
7,1,18,6
21,5,17,22
19,1,14,3
25,22,14,11
29,3,9,7
5,9,26,18
26,2,18,27
31,21,10,25
11,3,22,21
19,13,11,24
6,30,7,17
7,13,18,1
15,19,13,9
10,2,3,7
2,30,14,5
13,1,22,6
4,5,30,4
17,18,8,1
8,9,13,23
26,17,8,18
29,29,10,29
30,9,7,29
3,27,1,25
26,31,9,18
7,18,25,2
21,3,23,31
3,21,2,20
23,22,21,0
9,15,1,10
18,30,14,8
18,16,22,2
26,9,6,15
9,25,11,15
2,3,2,29
17,10,26,21
18,25,5,14
5,31,7,5
21,30,18,12
29,9,0,23
15,24,6,14
11,18,31,16
6,29,14,13
10,10,30,27
18,14,14,9
23,2,2,19
9,11,25,9
14,30,5,23
10,7,3,13
18,28,23,28
23,7,10,3
15,11,26,30
4,26,17,6
11,10,22,17
30,6,1,22
19,22,31,2
3,23,15,14
5,21,19,6
18,17,3,2
5,7,14,29
6,16,26,29
25,25,11,26
2,15,31,17
11,7,23,30
5,11,17,19
11,17,27,28
6,10,19,10
25,19,24,31
16,14,31,20
13,17,23,29
1,11,21,17
19,19,31,28
3,25,28,2
9,23,29,14
15,23,27,9
5,18,8,21
23,19,29,21
21,29,7,15
26,6,6,7
28,23,0,3
18,9,17,11
10,14,31,13
12,11,6,26
27,12,2,22
20,31,3,9
14,4,22,5
29,17,25,13
27,20,1,31
1,7,7,21
9,27,14,10
16,9,5,1
18,29,28,10
1,17,25,29
23,17,1,13
30,1,3,1
21,21,30,19
14,15,31,15
18,23,1,5
10,15,25,11
9,17,26,5
17,17,15,31
9,30,1,9
27,5,13,15
2,25,18,11
25,0,1,27
6,6,25,5
3,19,11,19
14,31,3,29
0,9,27,19
11,31,22,22
23,18,31,18
21,13,25,6
1,29,13,5
17,3,19,3
1,6,8,13
7,14,15,1
0,6,9,0
7,2,22,3
11,23,2,5
30,23,13,22
20,13,27,2
6,17,15,29
24,3,20,26
5,25,4,10
19,27,29,7
5,6,17,24
2,13,27,29
18,3,19,31
16,5,18,31
17,27,16,2
25,3,3,5
19,30,31,23
22,15,21,11
25,31,29,19
5,27,31,7
18,18,1,1
3,22,14,7
19,15,7,10
21,22,13,3
9,13,22,18
10,28,12,5
5,3,25,1
0,15,25,10
26,22,9,31
10,27,6,27
20,1,14,25
27,3,5,0
10,6,29,1
5,13,21,10
20,21,28,14
15,6,27,17
22,19,7,30
27,30,10,11
23,11,16,27
30,15,21,25
21,18,30,11
29,31,6,22
10,19,11,22
15,9,17,1
27,10,22,11
29,5,21,31
19,26,6,25
25,21,2,16
29,27,27,24
30,21,12,3
9,19,15,13
11,27,6,8
7,22,7,25
25,27,14,6
15,7,19,9
13,14,24,25
9,1,21,23
30,31,7,19
30,10,6,13
27,21,10,5
1,18,3,6
29,23,18,22
13,6,18,19
26,15,14,1
27,13,13,0
29,0,27,26
22,10,23,26
7,3,19,23
7,27,10,9
23,27,31,29
5,5,23,6
6,4,15,5
7,7,21,14
30,17,30,3
17,7,2,27
3,3,30,30
15,25,3,15
27,16,31,3
30,25,11,14
15,22,16,31
11,9,20,11
15,2,1,24
11,11,17,9
3,0,27,18
29,26,15,30
2,18,1,21
17,5,7,31
3,18,5,26
22,9,11,6
26,11,21,6
2,6,3,28
11,21,3,31
17,13,9,26
17,25,23,15
17,29,5,2
7,26,6,9
23,25,22,26
17,23,1,3
25,7,13,30
26,27,22,25
11,16,1,15
14,18,27,31
11,2,11,29
12,23,2,11
18,8,8,6
14,17,31,27
29,18,14,27
19,18,29,13
18,7,3,11
19,29,25,8
27,6,5,12
21,2,2,26
30,7,14,23
13,21,25,23
9,14,10,1
29,6,6,1
22,29,28,6
25,17,26,23
23,10,17,31
10,31,4,19
30,5,3,26
13,19,2,17
6,3,8,30
7,11,26,25
11,30,1,23
31,9,11,25
0,29,27,11
31,11,13,2
23,3,29,30
5,15,15,21
4,22,15,15
6,18,9,2
7,6,29,15
13,10,3,14
1,26,3,4
2,21,9,21
31,1,3,30
14,2,11,5
28,31,23,23
30,22,18,21
27,7,31,14
30,2,21,19
26,1,28,18
13,7,27,25
30,29,24,18
27,22,23,21
13,13,13,25
27,27,19,17
22,14,2,2
21,27,6,19
15,18,5,10
22,27,15,3
14,21,15,27
10,21,22,31
6,2,10,18
5,17,26,7
2,14,17,30
13,11,26,3
25,15,13,29
22,16,30,14
27,23,23,14
21,7,9,6
12,27,29,11
14,19,15,10
11,1,31,25
9,20,31,8
6,23,21,15
18,5,23,9
31,5,23,5
17,21,10,23
10,17,31,26
9,22,29,10
17,2,23,13
22,13,31,31
18,15,26,13
14,22,12,14
22,7,18,2
31,30,18,26
23,1,2,7
19,7,5,29
17,0,3,10
9,10,25,18
2,1,6,11
30,24,19,2
0,26,16,18
26,14,22,12
30,18,23,24
20,17,21,9
23,8,22,23
6,21,2,10
9,5,5,22
11,4,30,13
17,15,15,17
24,9,25,30
19,14,1,14
0,17,31,22
21,26,11,13
3,17,14,14
25,14,4,30
26,19,18,13
15,26,31,6
19,11,13,18
19,21,19,25
27,1,13,31
6,5,21,1
7,9,20,7
2,31,27,15
22,1,31,12
1,2,10,13
25,26,10,22
14,26,30,26
17,14,22,20
17,26,2,9
5,19,1,19
13,26,29,25
7,23,9,29
9,3,1,30
