start_y,start_x,goal_y,goal_x
28,25,22,8
5,2,25,4
18,19,8,31
9,25,12,5
9,14,10,6
10,25,29,1
28,7,16,29
11,16,11,28
28,22,10,13
31,29,20,9
20,5,5,3
16,28,14,14
19,1,24,14
23,22,16,8
9,28,26,27
29,11,6,23
2,26,28,28
2,15,18,4
24,2,14,25
18,31,11,30
20,17,8,28
28,11,21,2
22,29,2,1
14,9,3,19
14,4,5,1
18,13,9,29
10,10,23,7
26,11,9,2
26,14,16,13
13,21,30,25
22,26,25,14
26,16,1,24
14,30,28,20
24,16,23,21
4,8,29,18
25,12,22,19
11,29,9,17
1,7,26,26
25,19,25,22
16,2,26,22
12,4,7,8
5,16,4,19
7,4,10,5
5,19,11,4
13,8,29,28
1,12,28,26
11,26,11,25
2,30,30,14
20,24,9,4
23,10,18,26
17,19,28,2
9,22,11,1
4,26,7,20
26,15,13,7
13,20,19,2
28,4,11,22
20,11,16,25
19,16,31,27
20,16,7,29
8,14,14,23
1,28,9,8
31,1,29,20
26,13,4,21
28,23,29,25
23,29,10,1
17,16,23,14
1,11,14,21
9,5,13,23
29,29,5,13
29,5,14,2
17,29,10,16
1,16,3,8
10,2,4,10
16,7,21,8
21,25,3,13
26,25,18,1
29,16,21,1
4,5,2,12
25,31,29,7
4,30,3,14
22,10,30,2
10,7,31,21
6,14,10,29
14,11,26,8
27,2,20,14
5,4,14,22
5,26,9,20
23,20,7,10
17,2,2,22
12,29,13,17
20,15,13,24
1,8,1,19
13,10,31,7
4,17,31,3
1,15,15,2
24,29,17,21
31,12,8,3
23,5,25,29
14,8,29,15
13,16,5,7
14,13,22,17
11,2,2,17
7,25,16,10
15,25,2,24
8,22,8,11
27,1,20,13
7,26,6,8
2,10,17,11
5,31,1,2
19,17,30,1
11,15,12,26
29,30,27,20
2,27,25,23
2,31,31,13
31,10,29,10
6,16,1,29
31,30,22,30
10,19,16,14
4,25,15,26
26,28,19,19
14,18,26,6
27,31,12,1
28,10,30,13
25,5,17,20
19,28,10,15
15,16,6,10
19,18,31,26
17,28,23,30
26,4,9,7
12,28,28,30
16,4,19,11
24,17,2,6
26,23,14,16
16,20,5,18
18,5,14,5
27,23,23,16
19,4,20,23
1,4,11,10
1,14,19,7
31,23,29,17
16,30,8,7
24,28,8,8
26,9,24,20
26,5,23,19
4,22,7,16
16,5,18,14
9,26,22,24
4,7,30,26
17,15,1,13
9,16,2,25
27,8,20,28
3,20,17,5
7,17,12,10
17,10,12,2
10,17,25,28
31,19,28,13
7,24,11,19
31,24,31,20
11,20,5,22
20,8,16,11
17,22,29,22
2,11,31,25
5,23,16,1
16,21,10,4
21,16,28,5
30,23,17,30
22,2,24,19
31,22,1,5
22,4,7,22
27,25,11,18
31,6,7,2
30,31,31,2
20,7,9,10
2,4,20,22
6,22,6,13
10,22,9,1
14,26,8,2
8,10,19,25
14,10,16,31
23,6,25,9
3,4,19,9
22,12,22,11
11,31,11,13
26,31,26,17
28,16,25,13
11,14,26,29
20,2,20,25
14,20,2,19
28,29,31,18
16,27,22,21
10,20,17,23
13,14,27,22
4,13,19,23
26,19,31,14
23,17,1,31
5,8,3,7
5,17,19,14
9,23,18,7
19,10,8,5
5,25,25,10
6,7,2,3
31,31,18,8
13,4,13,1
23,3,26,7
14,1,27,26
19,31,28,15
20,29,22,5
22,13,2,2
7,19,22,31
2,29,13,18
18,20,23,24
23,11,20,19
4,2,5,20
2,16,17,13
8,4,17,4
14,29,19,15
5,11,2,28
8,25,25,26
4,4,17,17
8,24,1,6
10,14,5,27
17,8,17,7
15,17,19,20
3,5,4,27
10,31,26,1
20,10,1,10
23,31,31,5
23,28,21,26
4,14,14,17
13,13,11,7
17,1,4,31
26,10,11,11
17,31,16,16
2,8,14,31
2,21,6,17
23,26,1,1
8,13,29,26
29,23,26,2
22,22,28,31
1,22,28,1
7,1,5,30
22,20,8,20
23,12,2,13
19,26,30,10
22,16,21,31
17,27,7,28
11,6,8,19
7,11,25,2
18,2,29,4
16,22,29,19
12,13,13,25
19,24,8,16
23,23,20,31
23,2,10,26
25,8,28,18
10,28,14,19
5,29,2,23
11,23,17,25
9,19,1,30
25,27,27,19
15,31,18,11
7,23,16,17
1,20,18,10
12,11,13,28
8,23,7,3
16,23,11,17
29,14,25,11
23,8,22,28
19,5,7,31
28,8,2,5
1,3,1,17
2,7,8,26
11,8,24,1
15,7,9,11
29,3,3,31
4,23,15,5
2,20,23,4
12,14,3,11
21,28,15,4
22,23,28,17
10,11,23,25
30,22,8,29
22,25,20,20
16,26,25,1
25,20,28,19
20,18,5,5
19,22,17,26
5,14,25,6
10,23,31,28
28,14,4,28
8,1,4,18
13,26,27,7
8,17,6,11
16,19,28,3
14,7,10,8
23,13,22,7
4,20,19,29
5,28,25,16
5,10,13,29
31,17,7,13
13,22,13,5
15,1,25,7
21,7,10,30
19,13,7,5
22,6,31,16
18,25,4,29
31,11,14,28
13,2,21,29
24,13,1,25
4,1,4,16
20,4,29,31
25,25,4,3
23,1,31,8
9,13,5,21
1,23,4,11
30,11,12,25
22,14,17,14
2,14,1,21
20,1,3,10
1,27,31,4
29,2,11,5
13,11,29,8
26,20,22,1
25,15,21,17
13,9,15,8
10,18,14,24
13,30,22,3
16,15,7,14
29,13,25,17
1,26,26,12
13,31,7,7
9,31,19,8
20,26,13,19
