start_y,start_x,goal_y,goal_x
31,1,10,22
23,26,30,14
7,0,29,21
5,5,26,5
7,28,12,21
12,23,7,2
10,30,14,27
16,26,10,25
4,16,7,14
13,24,0,3
0,16,21,6
21,3,3,31
3,6,0,19
6,12,4,29
10,3,2,14
9,19,31,9
7,6,26,29
28,14,25,2
2,20,3,8
22,26,18,24
27,17,24,0
20,19,24,7
13,20,24,28
26,16,23,12
2,0,13,28
6,25,31,23
11,3,4,31
16,11,20,9
30,15,30,12
10,21,21,19
22,16,4,15
12,8,30,23
5,8,31,12
20,22,13,27
29,6,10,7
9,8,2,3
25,26,17,8
5,23,22,24
23,23,15,27
3,1,7,4
9,20,7,9
18,1,3,2
24,13,19,4
17,6,21,9
25,10,15,20
12,5,8,13
9,29,14,3
13,11,20,8
25,7,23,7
8,2,4,23
10,13,6,26
14,26,30,4
10,8,9,24
23,28,29,23
2,6,11,11
23,31,4,21
23,18,25,22
25,12,4,18
8,14,22,22
29,14,28,16
23,13,1,29
25,4,5,0
7,16,19,30
30,2,2,26
6,0,2,11
16,0,0,8
14,16,6,20
17,21,0,14
13,18,4,17
15,7,16,29
11,23,6,29
9,2,15,2
12,24,22,4
11,9,0,11
2,5,15,9
12,19,24,26
31,21,28,3
22,31,14,13
8,30,25,23
24,3,4,10
13,1,22,2
12,14,28,1
4,0,2,17
29,31,2,7
2,2,11,6
20,12,24,31
3,0,5,22
12,25,19,27
25,29,15,22
25,24,9,10
3,12,29,8
2,25,31,14
16,12,29,1
1,16,4,19
21,12,19,14
19,3,31,0
19,24,20,29
7,8,7,29
26,20,20,18
22,9,16,15
7,13,26,31
4,3,11,29
1,18,8,24
14,9,22,25
24,27,11,24
24,22,8,23
30,3,28,19
30,24,27,8
11,1,15,10
19,12,28,27
8,10,20,10
10,5,24,6
0,27,4,7
19,21,29,16
7,25,16,31
7,27,10,11
0,22,17,12
26,15,7,26
27,26,7,7
28,10,14,23
13,31,1,12
14,24,26,18
25,14,23,30
3,13,29,11
12,9,27,7
5,30,12,18
14,12,25,28
1,23,25,5
14,7,13,5
0,17,30,1
9,22,14,11
21,17,4,25
26,28,27,14
0,12,1,5
15,23,17,14
6,31,10,2
27,3,31,4
23,3,4,20
14,25,3,21
19,17,1,27
6,23,12,4
18,4,29,19
0,26,28,29
27,22,18,9
23,10,24,1
29,0,8,11
8,7,18,2
13,0,5,18
9,12,16,22
31,13,22,29
22,30,18,26
12,16,3,24
13,16,16,6
11,12,21,29
25,6,20,23
7,5,3,10
24,18,21,10
5,10,7,19
13,4,0,24
9,15,25,27
4,12,16,17
23,8,11,21
28,12,14,21
7,12,15,24
27,12,20,5
9,0,16,28
24,10,14,22
30,8,20,31
3,23,6,10
23,22,4,4
1,6,29,5
28,22,17,17
2,1,21,22
11,0,26,22
18,16,12,17
10,10,5,4
30,19,23,6
29,22,27,25
7,31,17,28
8,4,12,27
6,24,24,21
28,13,23,11
16,23,31,30
28,23,16,21
3,17,9,3
8,18,15,25
14,15,10,1
13,13,7,15
18,6,9,18
18,5,10,23
24,24,25,21
28,30,19,15
4,6,29,27
29,24,29,4
29,29,6,14
26,1,28,8
26,2,22,17
8,3,19,23
5,28,21,23
8,6,1,28
30,30,9,9
19,31,27,20
27,28,13,8
17,2,30,9
16,9,11,16
28,15,7,17
8,19,22,12
18,15,20,3
28,18,16,13
15,26,28,0
31,16,12,31
0,0,8,0
12,3,20,28
31,2,21,8
11,20,9,28
25,13,16,16
17,18,1,2
22,6,13,7
26,14,11,10
17,20,18,14
21,14,11,19
12,13,7,10
28,7,23,27
11,26,29,15
0,23,6,28
20,7,29,25
3,19,17,3
10,28,17,31
13,6,21,11
13,3,20,2
15,21,16,27
20,27,24,14
27,11,12,2
1,3,27,18
18,12,24,30
27,15,0,5
19,8,15,14
4,2,4,13
15,11,26,3
5,31,31,3
5,20,15,18
9,23,27,31
20,30,22,15
13,2,7,24
9,31,28,28
25,30,26,26
9,27,6,18
15,6,3,26
17,23,16,14
11,18,6,17
13,26,1,0
3,25,14,19
21,30,11,8
17,5,17,22
11,31,1,8
5,9,10,9
21,18,21,16
6,4,2,15
16,18,17,11
17,1,3,3
23,19,29,26
26,17,5,2
20,25,1,14
16,2,24,9
15,19,21,25
9,14,28,17
0,21,15,0
31,31,12,29
6,21,18,22
3,29,21,4
5,26,31,15
28,26,14,29
24,19,8,16
11,7,9,16
16,24,27,1
6,3,21,28
8,8,11,27
5,21,3,22
19,2,20,4
23,1,6,11
22,28,15,13
23,15,18,18
25,3,4,5
17,26,17,19
14,28,26,6
11,4,24,25
8,29,22,27
27,19,14,30
24,29,31,20
11,25,23,4
5,15,22,1
9,11,26,0
5,12,27,27
13,10,26,9
11,17,3,15
18,7,31,10
13,22,26,11
29,30,3,9
22,13,25,15
16,4,6,9
24,11,10,14
25,19,28,6
5,1,23,5
29,13,11,22
0,15,19,5
26,4,6,7
24,5,28,11
24,15,25,11
14,20,30,31
4,30,10,15
5,6,5,19
1,24,26,25
17,27,22,8
10,4,21,5
10,24,31,19
11,15,2,13
9,25,1,22
13,25,2,8
31,22,28,4
14,18,25,17
8,5,31,7
29,12,11,14
12,0,0,25
12,6,17,13
18,29,2,31
8,1,16,7
24,12,9,7
12,15,12,28
20,24,8,20
5,17,2,19
0,7,9,13
18,25,30,20
2,29,27,16
25,9,10,20
20,0,1,21
31,24,22,3
27,10,8,28
18,27,10,31
28,20,21,27
23,9,31,8
2,24,8,25
0,13,0,9
1,11,3,27
9,1,25,8
15,1,16,20
8,21,2,18
19,26,20,21
13,29,25,31
27,2,3,5
2,28,1,10
1,1,8,22
6,2,4,27
19,19,21,15
17,16,27,0
21,31,26,27
20,6,30,0
18,10,31,27
12,7,30,21
10,16,12,1
17,10,0,4
3,7,15,30
24,20,11,2
8,31,18,28
13,30,19,10
19,7,21,13
19,13,21,2
30,25,2,21
6,13,1,19
1,15,19,16
28,5,15,8
2,30,15,3
14,0,16,1
30,7,4,24
6,15,14,14
30,26,4,26
7,20,0,2
17,25,29,2
22,0,0,6
16,10,10,27
17,30,6,22
27,29,18,8
13,9,19,20
14,17,17,7
16,5,21,20
9,4,14,31
5,11,3,16
18,20,2,23
11,13,9,26
3,4,7,18
13,21,16,30
14,8,5,16
20,20,22,14
29,9,27,24
5,25,7,11
20,14,3,11
25,0,1,25
20,1,5,13
19,11,30,27
4,11,26,30
30,10,16,3
4,8,27,13
30,6,19,0
31,11,23,25
1,9,19,25
12,26,5,24
14,1,6,27
14,6,18,0
0,20,29,10
8,9,3,18
