start_x,start_y,goal_x,goal_y
0,27,19,10
19,5,16,30
11,11,17,17
2,19,4,30
6,12,14,30
15,13,1,27
22,3,3,27
27,22,8,16
24,30,16,11
27,27,15,6
3,12,1,2
25,14,23,7
29,9,17,21
2,2,21,17
30,2,28,13
4,3,10,10
22,30,23,18
20,2,21,25
22,17,11,1
21,22,0,19
1,29,21,8
31,7,17,11
5,4,5,9
21,4,6,24
15,2,28,11
12,19,17,5
0,8,9,11
28,6,8,20
27,12,6,0
19,17,14,24
16,24,1,21
10,1,20,10
16,2,13,30
23,8,1,1
25,10,13,31
21,19,11,10
15,25,26,3
17,14,7,20
3,9,9,8
0,25,14,17
17,31,5,15
21,18,12,7
3,16,2,24
23,5,4,16
28,27,20,1
3,23,30,6
9,14,8,6
13,25,3,5
8,9,19,16
18,20,19,8
3,18,23,9
24,25,12,14
18,16,16,13
6,17,9,15
8,21,11,14
27,15,13,4
29,24,0,21
29,29,12,1
5,12,10,9
21,28,4,2
18,8,11,21
28,10,8,24
25,8,13,13
20,20,18,12
3,11,8,5
4,31,6,13
17,2,3,2
14,25,22,14
4,10,10,14
22,27,22,31
28,26,0,5
6,25,13,27
18,15,14,29
21,10,27,10
0,23,11,0
7,14,13,11
30,8,23,4
28,4,27,24
26,9,8,18
11,31,9,29
17,1,9,7
3,10,3,22
26,26,12,26
31,22,7,5
10,23,2,5
25,29,28,19
29,5,16,12
8,11,27,31
11,4,29,21
5,30,3,17
26,17,26,6
14,1,16,0
19,25,29,14
15,9,26,31
4,25,18,7
5,20,14,16
22,1,5,21
14,8,0,0
29,11,7,15
13,2,14,26
18,5,6,3
12,25,6,28
7,18,18,28
22,26,21,9
11,8,1,10
13,20,4,4
15,14,28,30
3,15,8,31
22,16,15,11
15,26,29,30
17,26,9,13
19,2,30,31
30,7,22,9
30,3,30,9
0,17,26,27
30,30,18,0
14,3,16,17
27,28,8,7
2,0,28,23
5,23,17,18
10,20,24,31
14,13,2,25
24,29,31,20
29,10,7,17
2,28,4,12
13,28,23,27
4,20,16,1
10,2,10,13
12,5,23,13
19,20,3,21
12,17,30,10
7,9,9,9
20,18,14,18
9,0,7,8
13,16,21,12
25,9,7,27
0,15,4,17
16,28,28,12
24,11,13,6
2,31,18,29
5,17,23,22
14,15,12,2
27,14,11,25
6,15,8,25
2,11,2,20
5,11,9,31
26,20,5,26
31,2,2,15
8,19,24,3
8,13,6,14
22,6,31,9
13,9,9,23
16,18,5,0
29,23,17,20
22,28,16,5
8,1,24,14
2,17,26,5
27,1,23,3
2,1,15,27
2,26,2,14
28,15,17,25
14,14,19,7
19,26,18,10
10,24,25,19
20,21,31,11
26,18,14,0
24,6,5,2
25,30,18,9
23,6,12,9
5,6,17,6
16,6,14,6
1,9,31,8
