start_y,start_x,goal_y,goal_x
30,9,27,7
20,24,10,7
31,12,5,1
14,31,16,5
23,23,4,31
24,18,13,18
23,11,8,19
2,20,19,17
18,10,7,14
22,0,4,11
25,31,8,0
3,4,21,16
26,0,2,8
16,26,12,6
25,23,0,14
27,29,18,7
30,3,29,30
24,25,5,22
7,31,20,3
28,26,7,13
24,15,16,23
14,29,25,26
17,30,19,20
3,24,1,1
7,5,12,29
11,23,15,14
8,20,0,5
11,21,19,27
13,21,23,1
1,28,0,11
11,18,18,0
16,0,24,20
25,28,6,29
20,10,20,21
21,4,29,22
12,26,13,29
10,31,14,24
7,17,0,2
0,23,23,3
2,25,21,15
31,4,28,11
19,8,25,29
1,21,20,25
14,11,21,13
22,24,8,21
30,21,28,28
14,0,22,12
31,30,20,18
17,2,0,26
16,18,25,19
26,18,0,27
13,28,6,27
11,22,13,30
26,5,27,3
8,28,28,17
2,15,23,31
6,3,27,8
28,14,1,3
18,4,4,26
16,24,7,19
29,9,31,3
26,28,11,12
29,12,12,3
12,19,27,31
6,15,17,7
24,1,7,9
12,4,12,0
1,16,11,13
17,18,31,9
5,19,20,1
26,22,16,17
15,18,29,26
30,6,5,4
16,6,21,25
14,30,18,16
29,24,25,18
19,14,10,20
6,14,9,18
0,20,31,22
16,10,28,4
17,31,4,8
24,10,19,0
25,3,21,22
0,22,1,0
25,5,13,1
9,19,9,12
10,3,25,4
5,8,14,14
15,26,17,1
6,25,9,9
11,9,10,11
17,6,1,15
9,2,9,23
6,26,1,29
31,19,4,20
31,0,1,9
17,20,8,9
12,24,21,18
13,13,19,11
28,8,5,13
30,31,0,3
30,12,19,10
7,6,5,0
10,8,31,11
30,19,13,4
5,10,21,5
25,27,22,17
13,22,19,5
22,8,12,13
28,1,24,26
20,31,7,29
11,31,2,23
19,26,14,3
14,15,27,18
12,31,28,7
2,6,8,22
0,16,17,21
21,29,26,29
13,27,25,24
23,12,18,1
19,25,0,7
5,28,1,23
2,30,0,13
14,9,2,31
29,27,5,2
16,27,1,22
27,17,29,31
29,25,15,21
16,28,21,10
19,31,23,22
16,14,19,21
9,13,21,12
30,0,18,14
23,15,13,31
0,17,16,11
19,3,1,5
25,17,23,10
19,16,17,27
29,23,10,27
6,17,11,14
22,28,13,6
6,10,5,16
4,10,3,16
10,14,0,25
